| #  | Recomendación                                       | Temporada | Capítulo | Año      |
|----|-----------------------------------------------------|-----------|----------|----------|
| 1  | Doctor Who                                          | T2        | E7       | 2025     |
| 2  | El Problema de los 3 Cuerpos                        | T1        | E1       |          |
| 3  | Vencer o Morir                                      | T1        | E1       |          |
| 4  | Kaiju No. 8 (Audio Latino)                          | T1        | E1       |          |
| 5  | House of the Dragon - La Casa del Dragón            | T2        | E1       |          |
| 6  | Dulce Hogar                                         | T1        | E1       |          |
| 7  | Halo                                                | T1        | E1       |          |
| 8  | Urban Legend                                        | T1        | E1       |          |
| 9  | Loki                                                | T1        | E1       |          |
|10  | Boruto: Naruto Next Generations (TV)                | T1        | E1       |          |
|11  | Fallout                                             | T1        | E1       |          |
